Node Number	Equivalent Elastic Strain (m/m)
2764	1.838e-002
2765	2.4206e-002
2765	2.4177e-002
2766	1.5592e-002
2766	1.9817e-002
2767	4.5194e-002
2767	5.0549e-002
2768	5.7293e-002
2768	5.9213e-002
2769	4.6244e-002
2769	4.2232e-002
2770	3.4221e-002
2770	2.06e-002
2771	3.9184e-002
2771	3.8564e-002
2772	4.9429e-002
2772	4.6791e-002
2773	4.2812e-002
2773	5.139e-002
2774	5.2695e-002
2774	3.3864e-002
2775	4.6678e-002
2775	2.3443e-002
2776	8.3318e-002
2776	8.5707e-002
2777	7.7107e-002
2777	6.9093e-002
2778	1.3559e-002
2778	1.7644e-002
2779	0.
2779	0.
2780	0.
2780	0.
2781	3.0416e-002
2781	3.3751e-002
2782	3.8801e-003
2782	7.7899e-003
2783	2.1891e-002
2783	2.5005e-002
2784	3.6198e-003
2784	1.0757e-002
2785	1.4673e-002
2785	2.1262e-002
2786	1.666e-002
2786	1.5601e-002
2787	4.9158e-002
2787	4.5399e-002
2788	8.2891e-003
2788	3.923e-003
2789	3.2001e-002
2789	2.5866e-002
2790	2.0852e-002
2790	1.0757e-002
2791	9.6853e-003
2791	4.8437e-003
2792	1.1301e-002
2792	1.7443e-002
2793	2.1255e-002
2793	2.8308e-002
2794	1.4089e-002
2794	6.6857e-003
2795	4.4472e-003
2795	1.2131e-002
2796	1.0648e-002
2796	1.6949e-002
2797	5.8231e-003
2797	9.3811e-003
2798	8.9681e-003
2798	1.5829e-002
2799	7.8727e-003
2799	1.1202e-002
2800	4.7361e-002
2800	4.6603e-002
2801	0.
2801	0.
2802	1.6739e-003
2802	4.3619e-004
2803	2.3276e-003
2803	7.4005e-004
2804	0.
2804	0.
2805	0.
2805	0.
2806	1.0851e-002
2806	1.4526e-002
2807	0.
2807	0.
2808	0.
2808	0.
2809	0.
2809	0.
2810	0.
2810	0.
2811	0.
2811	0.
2812	0.
2812	0.
2813	0.
2813	0.
2814	0.
2814	0.
2815	0.
2815	0.
2816	0.
2816	0.
2817	0.
2817	0.
2818	0.
2818	0.
2819	0.
2819	0.
2820	0.
2820	0.
2821	0.
2821	0.
2822	0.
2822	0.
2823	0.
2823	0.
2824	0.
2824	0.
2825	0.
2825	0.
2826	0.
2826	0.
2827	0.
2827	0.
2828	0.
2828	0.
2829	0.
2829	0.
2830	0.
2830	0.
2831	0.
2831	0.
2832	0.
2832	0.
2833	0.
2833	0.
2834	0.
2834	0.
2835	0.
2835	0.
2836	0.
2836	0.
2837	0.
2837	0.
2838	0.
2838	0.
2839	0.
2839	0.
2840	0.
2840	0.
2841	0.
2841	0.
2842	0.
2842	0.
2843	0.
2843	0.
2844	0.
2844	0.
2845	0.
2845	0.
2846	0.
2846	0.
2847	0.
2847	0.
2848	0.
2848	0.
2849	0.
2849	0.
2850	0.
2850	0.
2851	0.
2851	0.
2852	0.
2852	0.
2853	0.
2853	0.
2854	0.
2854	0.
2855	0.
2855	0.
2856	0.
2856	0.
2857	0.
2857	0.
2858	0.
2858	0.
2859	4.6263e-003
2859	8.6423e-003
2860	2.1061e-002
2860	1.4238e-002
2861	1.2207e-002
2861	1.0644e-002
2862	1.2799e-002
2862	1.3768e-002
2863	1.1643e-002
2863	9.911e-003
2864	1.3397e-002
2864	1.1001e-002
2865	9.9299e-003
2865	6.2528e-003
2866	1.1022e-002
2866	7.673e-003
2867	6.0183e-003
2867	2.7166e-002
2868	6.8938e-003
2868	1.5903e-002
2869	9.2417e-003
2869	2.0997e-002
2870	1.0196e-002
2870	1.5747e-002
2871	1.511e-002
2871	1.1702e-002
2872	1.6817e-002
2872	1.2996e-002
2873	1.2847e-002
2873	9.1298e-003
2874	2.2516e-002
2874	1.2835e-002
2875	1.0813e-002
2875	1.9152e-002
2876	1.0439e-002
2876	1.9552e-002
2877	1.2329e-002
2877	1.0923e-002
2878	1.4957e-002
2878	1.3117e-002
2879	1.5806e-002
2879	1.9223e-002
2880	2.1173e-002
2880	1.2416e-002
2881	1.3244e-002
2881	7.2125e-003
2882	1.3452e-002
2882	9.852e-003
2883	1.9082e-002
2883	1.4725e-002
2884	8.1862e-003
2884	1.5986e-002
2885	1.6631e-002
2885	1.1398e-002
2886	1.5779e-002
2886	1.7186e-002
2887	2.2735e-002
2887	1.3457e-002
2888	1.3008e-002
2888	1.4084e-002
2889	1.3557e-002
2889	1.7575e-002
2890	1.0335e-002
2890	1.5999e-002
2891	1.4372e-002
2891	1.5247e-002
2892	9.214e-003
2892	1.7109e-002
2893	1.0585e-002
2893	1.6168e-002
2894	1.7443e-002
2894	1.2562e-002
2895	1.8718e-002
2895	1.5928e-002
2896	2.4219e-002
2896	1.9333e-002
2897	2.0629e-002
2897	1.4137e-002
2898	2.8385e-002
2898	2.5442e-002
2899	3.0626e-002
2899	3.4277e-002
2900	4.0458e-002
2900	3.5639e-002
2901	1.4276e-002
2901	1.8456e-002
2902	1.9477e-002
2902	1.1535e-002
2903	2.2054e-002
2903	2.1318e-002
2904	2.355e-002
2904	2.1689e-002
2905	1.7203e-002
2905	1.5173e-002
2906	1.7644e-002
2906	2.607e-002
2907	4.2593e-002
2907	2.8559e-002
2908	2.1241e-002
2908	1.6611e-002
2909	4.1192e-002
2909	4.1092e-002
2910	2.7447e-002
2910	2.7221e-002
2911	2.2324e-002
2911	2.1436e-002
2912	3.2879e-002
2912	3.6011e-002
2913	2.0844e-002
2913	1.8565e-002
2914	4.6703e-002
2914	3.8333e-002
2915	3.1908e-002
2915	2.21e-002
2916	5.1768e-002
2916	4.7365e-002
2917	2.2731e-002
2917	2.0275e-002
2918	2.5709e-002
2918	1.9091e-002
2919	2.2801e-002
2919	3.1513e-002
2920	3.0213e-002
2920	3.0067e-002
2921	1.7645e-002
2921	2.3294e-002
2922	3.098e-002
2922	3.2448e-002
2923	2.5826e-002
2923	1.183e-002
2924	2.4693e-002
2924	1.8182e-002
2925	5.3003e-002
2925	5.461e-002
2926	3.0417e-002
2926	1.5823e-002
2927	2.6772e-002
2927	1.5638e-002
2928	2.1181e-002
2928	2.2696e-002
2929	5.2184e-002
2929	4.409e-002
2930	1.7065e-002
2930	2.3317e-002
2931	3.6725e-002
2931	1.7361e-002
2932	3.7759e-002
2932	4.5071e-002
2933	3.4122e-002
2933	3.3623e-002
2934	4.2311e-002
2934	4.4101e-002
2935	3.1053e-002
2935	2.9539e-002
2936	2.2321e-002
2936	2.0669e-002
2937	4.4382e-002
2937	4.0387e-002
2938	5.3328e-002
2938	3.9819e-002
2939	2.011e-002
2939	2.6558e-002
2940	1.6753e-002
2940	3.9352e-002
2941	2.8711e-002
2941	2.5796e-002
2942	1.6112e-002
2942	2.0904e-002
2943	3.5671e-002
2943	2.6746e-002
2944	3.3631e-002
2944	4.6427e-002
2945	2.1294e-002
2945	1.5816e-002
2946	4.2166e-002
2946	4.9601e-002
2947	1.5799e-002
2947	2.4086e-002
2948	2.2321e-002
2948	2.1317e-002
2949	3.2762e-002
2949	3.6116e-002
2950	1.7156e-002
2950	1.6818e-002
2951	3.1529e-002
2951	3.2699e-002
2952	2.9466e-002
2952	3.5618e-002
2953	4.343e-002
2953	4.7004e-002
2954	3.0981e-002
2954	2.5463e-002
2955	2.198e-002
2955	1.7187e-002
2956	3.2544e-002
2956	2.5531e-002
2957	5.1602e-002
2957	4.6535e-002
2958	2.2057e-002
2958	1.7508e-002
2959	1.2517e-002
2959	2.5102e-002
2960	1.2432e-002
2960	1.8548e-002
2961	2.9191e-002
2961	3.4802e-002
2962	3.7694e-002
2962	4.3148e-002
2963	2.8433e-002
2963	2.7842e-002
2964	3.0464e-002
2964	4.8416e-002
2965	4.9628e-002
2965	4.9508e-002
2966	1.2516e-002
2966	1.4254e-002
2967	2.1585e-002
2967	2.5679e-002
2968	1.6881e-002
2968	1.4652e-002
2969	2.2199e-002
2969	2.3651e-002
2970	2.2515e-002
2970	2.2318e-002
2971	1.6114e-002
2971	2.1284e-002
2972	1.7645e-002
2972	1.9732e-002
2973	3.0539e-002
2973	3.9083e-002
2974	2.0922e-002
2974	2.2355e-002
2975	2.9968e-002
2975	1.7761e-002
2976	2.2634e-002
2976	3.3527e-002
2977	4.1004e-002
2977	2.4212e-002
2978	2.0933e-002
2978	1.6455e-002
2979	3.4052e-002
2979	2.5288e-002
2980	1.3016e-002
2980	1.2244e-002
2981	2.1751e-002
2981	3.9977e-002
2982	1.3505e-002
2982	1.5271e-002
2983	2.4065e-002
2983	1.9654e-002
2984	2.5108e-002
2984	2.6372e-002
2985	1.9587e-002
2985	2.1363e-002
2986	2.7053e-002
2986	2.2955e-002
2987	1.4557e-002
2987	1.0868e-002
2988	1.6041e-002
2988	2.6204e-002
2989	3.3749e-002
2989	3.1951e-002
2990	2.32e-002
2990	1.5212e-002
2991	4.4337e-002
2991	4.427e-002
2992	2.8262e-002
2992	3.518e-002
2993	1.3729e-002
2993	1.4837e-002
2994	4.7113e-002
2994	4.2429e-002
2995	2.3303e-002
2995	2.0696e-002
2996	1.2362e-002
2996	1.4539e-002
2997	2.2862e-002
2997	1.345e-002
2998	2.479e-002
2998	2.7261e-002
2999	1.5537e-002
2999	2.8529e-002
3000	1.3927e-002
3000	1.4062e-002
3001	1.6113e-002
3001	1.5176e-002
3002	1.4848e-002
3002	1.9277e-002
3003	1.6958e-002
3003	1.7767e-002
3004	1.9754e-002
3004	1.7796e-002
3005	1.7894e-002
3005	1.8676e-002
3006	2.8331e-002
3006	2.633e-002
3007	4.6326e-002
3007	4.4424e-002
3008	2.6642e-002
3008	2.8315e-002
3009	2.5997e-002
3009	2.8572e-002
3010	2.4887e-002
3010	2.9421e-002
3011	3.2068e-002
3011	2.8762e-002
3012	1.8965e-002
3012	2.014e-002
3013	1.9172e-002
3013	5.4494e-002
3014	3.9613e-002
3014	2.3302e-002
3015	2.8023e-002
3015	1.7383e-002
3016	1.3842e-002
3016	1.3148e-002
3017	1.7431e-002
3017	1.9035e-002
3018	3.2212e-002
3018	4.3621e-002
3019	3.6803e-002
3019	3.9026e-002
3020	2.0837e-002
3020	3.87e-002
3021	2.599e-002
3021	3.9692e-002
3022	3.0711e-002
3022	3.1347e-002
3023	2.4591e-002
3023	1.8488e-002
3024	3.7953e-002
3024	4.5178e-002
3025	2.6853e-002
3025	3.4505e-002
3026	2.2576e-002
3026	1.7893e-002
3027	2.1215e-002
3027	1.5954e-002
3028	2.2394e-002
3028	2.4737e-002
3029	3.3203e-002
3029	3.7339e-002
3030	2.1578e-002
3030	3.4632e-002
3031	1.6197e-002
3031	3.5148e-002
3032	5.5794e-002
3032	5.0473e-002
3033	2.865e-002
3033	2.6859e-002
3034	3.1963e-002
3034	1.9523e-002
3035	4.2542e-002
3035	4.4703e-002
3036	1.584e-002
3036	1.4283e-002
3037	4.14e-002
3037	4.333e-002
3038	1.7796e-002
3038	1.7725e-002
3039	4.786e-002
3039	4.6894e-002
3040	2.1838e-002
3040	2.8286e-002
3041	2.6081e-002
3041	2.8481e-002
3042	2.6858e-002
3042	3.3105e-002
3043	2.9274e-002
3043	2.8661e-002
3044	3.0447e-002
3044	2.3859e-002
3045	4.5022e-002
3045	4.0426e-002
3046	2.846e-002
3046	2.2394e-002
3047	4.2866e-002
3047	4.442e-002
3048	2.1765e-002
3048	2.773e-002
3049	2.0555e-002
3049	1.4607e-002
3050	1.2514e-002
3050	1.3776e-002
3051	1.6434e-002
3051	2.1547e-002
3052	1.8947e-002
3052	2.4944e-002
3053	4.1326e-002
3053	4.7918e-002
3054	2.6887e-002
3054	1.6754e-002
3055	2.6661e-002
3055	1.4027e-002
3056	1.1446e-002
3056	2.2704e-002
3057	2.0172e-002
3057	2.1515e-002
3058	2.8697e-002
3058	3.7251e-002
3059	7.1457e-002
3059	3.3583e-002
3060	1.8818e-002
3060	1.897e-002
3061	2.0946e-002
3061	2.1538e-002
3062	3.9507e-002
3062	3.0319e-002
3063	2.9873e-002
3063	1.8729e-002
3064	3.7631e-002
3064	3.021e-002
3065	2.8818e-002
3065	2.4024e-002
3066	3.6869e-002
3066	3.3115e-002
3067	2.5213e-002
3067	6.1749e-002
3068	1.8137e-002
3068	3.8352e-002
3069	2.4921e-002
3069	2.55e-002
3070	4.9368e-002
3070	5.4222e-002
3071	3.223e-002
3071	4.036e-002
3072	3.0306e-002
3072	2.7374e-002
3073	3.0796e-002
3073	3.3092e-002
3074	4.1957e-002
3074	4.6232e-002
3075	4.2537e-002
3075	3.4782e-002
3076	4.0787e-002
3076	3.553e-002
3077	3.5572e-002
3077	3.0811e-002
3078	5.7624e-002
3078	5.8184e-002
3079	4.8099e-002
3079	3.4614e-002
3080	3.013e-002
3080	2.1868e-002
3081	2.8483e-002
3081	2.9561e-002
3082	1.8756e-002
3082	1.7626e-002
3083	3.2252e-002
3083	2.8395e-002
3084	1.3127e-002
3084	2.3734e-002
3085	2.0253e-002
3085	1.8819e-002
3086	3.9339e-002
3086	3.5486e-002
3087	3.6788e-002
3087	3.6911e-002
3088	1.8018e-002
3088	1.6084e-002
3089	2.3859e-002
3089	3.6287e-002
3090	1.1266e-002
3090	1.1451e-002
3091	0.
3091	0.
3092	4.8514e-003
3092	9.1635e-003
3093	1.8377e-002
3093	2.0704e-002
3094	1.2148e-002
3094	1.5803e-002
3095	1.4378e-002
3095	1.3597e-002
3096	9.0154e-003
3096	1.7854e-002
3097	2.1194e-002
3097	1.2127e-002
3098	0.
3098	0.
3099	1.6984e-002
3099	1.1336e-002
3100	0.
3100	0.
3101	0.
3101	0.
3102	0.
3102	0.
3103	1.3355e-002
3103	7.5147e-003
3104	1.9599e-002
3104	1.8038e-002
3105	3.7041e-002
3105	3.4177e-002
3106	0.
3106	0.
3107	0.
3107	0.
3108	0.
3108	0.
3109	0.
3109	0.
3110	0.
3110	0.
3111	5.4272e-003
3111	4.8959e-003
3112	0.
3112	0.
3113	0.
3113	0.
3114	0.
3114	0.
3115	0.
3115	0.
3116	0.
3116	0.
3117	0.
3117	0.
3118	0.
3118	0.
3119	0.
3119	0.
3120	0.
3120	0.
3121	0.
3121	0.
3122	0.
3122	0.
3123	0.
3123	0.
3124	0.
3124	0.
3125	0.
3125	0.
3126	0.
3126	0.
3127	0.
3127	0.
3128	0.
3128	0.
3129	0.
3129	0.
3130	0.
3130	0.
3131	0.
3131	0.
3132	0.
3132	0.
3133	0.
3133	0.
3134	0.
3134	0.
3135	0.
3135	0.
3136	0.
3136	0.
3137	0.
3137	0.
3138	0.
3138	0.
3139	0.
3139	0.
3140	0.
3140	0.
3141	0.
3141	0.
3142	0.
3142	0.
3143	0.
3143	0.
3144	0.
3144	0.
3145	0.
3145	0.
3146	0.
3146	0.
3147	0.
3147	0.
3148	0.
3148	0.
3149	0.
3149	0.
3150	0.
3150	0.
3151	0.
3151	0.
3152	0.
3152	0.
3153	0.
3153	0.
3154	0.
3154	0.
3155	0.
3155	0.
3156	0.
3156	0.
3157	0.
3157	0.
3158	0.
3158	0.
3159	0.
3159	0.
3160	0.
3160	0.
3161	0.
3161	0.
3162	3.5587e-003
3162	1.0107e-002
3163	1.5834e-002
3163	1.4051e-002
3164	1.6542e-002
3164	2.1658e-002
3165	1.5324e-002
3165	1.7227e-002
3166	1.8568e-002
3166	2.0494e-002
3167	3.7592e-002
3167	4.1177e-002
3168	3.4063e-002
3168	2.7294e-002
3169	2.1785e-002
3169	3.2656e-002
3170	2.0626e-002
3170	2.3911e-002
3171	1.4371e-002
3171	2.47e-002
3172	2.7072e-002
3172	1.9625e-002
3173	2.132e-002
3173	1.3495e-002
3174	1.9916e-002
3174	2.089e-002
3175	2.9497e-002
3175	2.4838e-002
3176	2.1409e-002
3176	1.7158e-002
3177	2.0768e-002
3177	2.0305e-002
3178	1.1947e-002
3178	1.2765e-002
3179	3.1092e-002
3179	2.6662e-002
3180	1.3817e-002
3180	1.822e-002
3181	2.0081e-002
3181	2.1871e-002
3182	1.959e-002
3182	2.0593e-002
3183	3.1481e-002
3183	2.3421e-002
3184	2.8018e-002
3184	1.2385e-002
3185	2.6847e-002
3185	2.5235e-002
3186	2.6537e-002
3186	2.5363e-002
3187	2.6813e-002
3187	2.2132e-002
3188	2.4808e-002
3188	2.0789e-002
3189	2.5636e-002
3189	2.7116e-002
3190	1.8824e-002
3190	1.3028e-002
3191	1.6277e-002
3191	1.5427e-002
3192	3.2492e-002
3192	3.1199e-002
3193	3.2747e-002
3193	2.7919e-002
3194	1.8853e-002
3194	2.3604e-002
3195	2.3905e-002
3195	2.5826e-002
3196	1.3163e-002
3196	1.1843e-002
3197	2.6475e-002
3197	1.6291e-002
3198	1.574e-002
3198	1.0983e-002
3199	1.6335e-002
3199	1.2291e-002
3200	1.747e-002
3200	2.2022e-002
3201	1.6325e-002
3201	1.6318e-002
3202	1.2121e-002
3202	1.6055e-002
3203	2.8516e-002
3203	2.8416e-002
3204	3.9568e-002
3204	3.7821e-002
3205	3.0242e-002
3205	2.4567e-002
3206	2.5561e-002
3206	2.4327e-002
3207	2.764e-002
3207	2.944e-002
3208	1.4688e-002
3208	1.5052e-002
3209	2.7488e-002
3209	3.031e-002
3210	3.5168e-002
3210	1.889e-002
3211	1.7827e-002
3211	9.7946e-003
3212	1.2637e-002
3212	8.5626e-003
3213	1.1179e-002
3213	1.6644e-002
3214	1.3914e-002
3214	1.7467e-002
3215	2.5141e-002
3215	2.2327e-002
3216	4.1162e-002
3216	4.151e-002
3217	1.6955e-002
3217	2.629e-002
3218	2.5212e-002
3218	2.5945e-002
3219	3.0134e-002
3219	1.8171e-002
3220	6.1086e-003
3220	1.4802e-002
3221	3.5824e-002
3221	3.6389e-002
3222	2.3246e-002
3222	2.4579e-002
3223	1.695e-002
3223	1.1859e-002
3224	2.2996e-002
3224	2.5884e-002
3225	1.8713e-002
3225	1.8713e-002
3226	1.383e-002
3226	2.7671e-003
3227	1.3587e-002
3227	1.5773e-002
3228	4.4891e-002
3228	4.4675e-002
3229	2.4339e-002
3229	1.839e-002
3230	2.5659e-002
3230	1.6509e-002
3231	1.8753e-002
3231	1.4259e-002
3232	2.7086e-002
3232	2.3651e-002
3233	1.7121e-002
3233	1.9826e-002
3234	1.5358e-002
3234	1.1459e-002
3235	2.6225e-002
3235	2.8311e-002
3236	1.5396e-002
3236	1.7707e-002
3237	1.1419e-002
3237	1.2172e-002
3238	3.154e-002
3238	1.889e-002
3239	3.1511e-002
3239	4.048e-002
3240	2.5714e-002
3240	1.2048e-002
3241	1.6222e-002
3241	1.8686e-002
3242	3.2962e-002
3242	2.5651e-002
3243	1.4376e-002
3243	2.518e-002
3244	5.0837e-002
3244	4.146e-002
3245	2.7197e-002
3245	2.4228e-002
3246	4.058e-002
3246	4.6209e-002
3247	2.6349e-002
3247	2.2893e-002
3248	1.9935e-002
3248	1.9305e-002
3249	3.7801e-002
3249	4.8584e-002
3250	3.7236e-002
3250	2.9678e-002
3251	3.0419e-002
3251	3.7255e-002
3252	4.4653e-002
3252	5.2967e-002
3253	3.5372e-002
3253	2.7872e-002
3254	2.402e-002
3254	3.0517e-002
3255	5.3025e-002
3255	5.017e-002
3256	4.2442e-002
3256	4.4341e-002
3257	4.6841e-002
3257	4.6188e-002
3258	2.8692e-002
3258	2.2185e-002
3259	5.312e-002
3259	2.9854e-002
3260	5.2806e-002
3260	5.0219e-002
3261	5.8295e-002
3261	4.5984e-002
3262	6.5501e-002
3262	5.8498e-002
3263	5.582e-002
3263	3.5924e-002
3264	3.8314e-002
3264	4.3503e-002
3265	4.489e-002
3265	4.478e-002
3266	4.8518e-002
3266	3.3922e-002
3267	3.5007e-002
3267	2.141e-002
3268	4.4392e-002
3268	4.3163e-002
3269	4.6997e-002
3269	5.4511e-002
3270	5.8151e-002
3270	6.5834e-002
3271	3.0872e-002
3271	4.0594e-002
3272	4.7347e-002
3272	4.2526e-002
3273	4.8532e-002
3273	4.5573e-002
3274	5.6296e-002
3274	4.2753e-002
3275	3.4246e-002
3275	4.0745e-002
3276	2.4349e-002
3276	2.9543e-002
3277	9.8192e-003
3277	1.4041e-002
3278	2.8372e-002
3278	2.645e-002
3279	3.7731e-002
3279	4.7932e-002
3280	4.7562e-002
3280	5.0205e-002
3281	3.0835e-002
3281	3.3093e-002
3282	1.7112e-002
3282	2.9983e-002
3283	4.4074e-002
3283	4.6876e-002
3284	2.2497e-002
3284	1.5231e-002
3285	1.8356e-002
3285	2.1289e-002
3286	2.343e-002
3286	3.2979e-002
3287	3.6434e-002
3287	3.4476e-002
3288	2.094e-002
3288	1.7808e-002
3289	9.463e-003
3289	1.0184e-002
3290	6.6717e-003
3290	9.4578e-003
3291	1.7451e-002
3291	1.5306e-002
3292	1.8674e-002
3292	9.7146e-003
3293	1.8518e-002
3293	1.5485e-002
3294	1.8199e-002
3294	1.2952e-002
3295	1.0373e-002
3295	1.171e-002
3296	4.9503e-002
3296	4.0372e-002
3297	2.6724e-002
3297	2.8337e-002
3298	2.1294e-002
3298	1.6088e-002
3299	1.5837e-002
3299	1.3776e-002
3300	2.5754e-002
3300	2.3774e-002
3301	6.0384e-002
3301	5.0882e-002
3302	3.4939e-002
3302	3.2299e-002
3303	3.5217e-002
3303	2.0769e-002
3304	2.4547e-002
3304	2.384e-002
3305	1.4677e-002
3305	1.3553e-002
3306	1.4867e-002
3306	1.6797e-002
3307	1.6689e-002
3307	2.04e-002
3308	2.8753e-002
3308	3.0772e-002
3309	2.6964e-002
3309	1.7726e-002
3310	3.4381e-002
3310	2.236e-002
3311	1.0163e-002
3311	1.6064e-002
3312	1.5209e-002
3312	1.684e-002
3313	1.4565e-002
3313	2.6299e-002
3314	1.5622e-002
3314	1.7078e-002
3315	1.5012e-002
3315	1.7794e-002
3316	1.7113e-002
3316	1.6513e-002
3317	5.5433e-002
3317	6.0295e-002
3318	4.7566e-002
3318	4.3696e-002
3319	4.8935e-002
3319	4.2901e-002
3320	4.9803e-002
3320	4.3065e-002
3321	4.5935e-002
3321	2.765e-002
3322	3.9033e-002
3322	2.0325e-002
3323	4.7828e-002
3323	2.4961e-002
3324	4.1264e-002
3324	4.9467e-002
3325	3.3042e-002
3325	2.0528e-002
3326	4.874e-002
3326	5.5982e-002
3327	5.1902e-002
3327	6.0365e-002
3328	3.1137e-002
3328	5.5378e-002
3329	4.8491e-002
3329	4.6302e-002
3330	4.8621e-002
3330	5.0668e-002
3331	4.3e-002
3331	4.7099e-002
3332	5.1088e-002
3332	4.9663e-002
3333	1.8657e-002
3333	3.1229e-002
3334	5.0359e-002
3334	5.0045e-002
3335	3.2865e-002
3335	3.8374e-002
3336	4.6948e-002
3336	3.8891e-002
3337	3.1044e-002
3337	4.0245e-002
3338	5.0168e-002
3338	4.5971e-002
3339	5.3957e-002
3339	4.3648e-002
3340	4.2859e-002
3340	2.4193e-002
3341	4.9331e-002
3341	4.8088e-002
3342	3.7822e-002
3342	4.2204e-002
3343	2.8767e-002
3343	2.9188e-002
3344	6.7607e-002
3344	5.6796e-002
3345	4.8458e-002
3345	4.4168e-002
3346	4.6167e-002
3346	5.3343e-002
3347	3.5789e-002
3347	4.3731e-002
3348	4.0039e-002
3348	4.7734e-002
3349	4.3753e-002
3349	3.7434e-002
3350	4.9584e-002
3350	5.4142e-002
3351	6.2339e-002
3351	3.782e-002
3352	6.8741e-002
3352	3.8279e-002
3353	3.5455e-002
3353	3.2674e-002
3354	4.5234e-002
3354	5.5704e-002
3355	4.7284e-002
3355	4.0157e-002
3356	2.5888e-002
3356	1.9232e-002
3357	2.1486e-002
3357	1.8104e-002
3358	3.8454e-002
3358	4.1831e-002
3359	2.5255e-002
3359	2.3354e-002
3360	1.8643e-002
3360	2.4274e-002
3361	3.2822e-002
3361	3.1005e-002
3362	1.5997e-002
3362	1.8946e-002
3363	2.5836e-002
3363	2.693e-002
3364	1.8404e-002
3364	1.7746e-002
3365	2.2656e-002
3365	2.6275e-002
3366	3.8147e-002
3366	3.7002e-002
3367	2.0914e-002
3367	1.6481e-002
3368	7.6644e-003
3368	2.0695e-002
3369	3.8053e-002
3369	3.8258e-002
3370	2.0545e-002
3370	1.2804e-002
3371	1.0055e-002
3371	1.4423e-002
3372	7.7405e-003
3372	8.0422e-003
3373	1.2666e-002
3373	1.4684e-002
3374	1.7629e-002
3374	1.5733e-002
3375	1.0985e-002
3375	1.7587e-002
3376	2.3276e-002
3376	2.0529e-002
3377	4.5849e-002
3377	4.6738e-002
3378	3.5394e-002
3378	2.2823e-002
3379	2.5024e-002
3379	2.3e-002
3380	1.9525e-002
3380	1.9488e-002
3381	2.0928e-002
3381	2.4118e-002
3382	1.819e-002
3382	1.0547e-002
3383	1.8983e-002
3383	1.2692e-002
3384	1.061e-002
3384	1.3625e-002
3385	1.4641e-002
3385	1.6405e-002
3386	2.7584e-002
3386	2.1527e-002
3387	3.8899e-002
3387	4.3031e-002
3388	1.4112e-002
3388	1.3317e-002
3389	1.9456e-002
3389	1.0492e-002
3390	1.4751e-002
3390	1.5964e-002
3391	1.6919e-002
3391	1.8091e-002
3392	1.5323e-002
3392	2.0608e-002
3393	1.7876e-002
3393	1.7938e-002
3394	1.2821e-002
3394	1.7886e-002
3395	8.8971e-003
3395	1.6584e-002
3396	1.5244e-002
3396	1.6611e-002
3397	1.8082e-002
3397	2.0787e-002
3398	3.3552e-002
3398	3.3517e-002
3399	4.2126e-002
3399	4.8334e-002
3400	3.6256e-002
3400	3.8575e-002
3401	2.0622e-002
3401	2.9248e-002
3402	5.4552e-002
3402	5.0444e-002
3403	5.1445e-002
3403	5.4547e-002
3404	4.8216e-002
3404	4.4456e-002
3405	3.4438e-002
3405	3.9063e-002
3406	5.1484e-002
3406	5.1896e-002
3407	2.352e-002
3407	1.7882e-002
3408	4.128e-002
3408	3.6794e-002
3409	3.1526e-002
3409	3.196e-002
3410	3.7433e-002
3410	4.3595e-002
3411	3.5161e-002
3411	3.4912e-002
3412	4.5016e-002
3412	4.9774e-002
3413	4.0436e-002
3413	3.2798e-002
3414	4.3897e-002
3414	4.2273e-002
3415	2.4131e-002
3415	3.5408e-002
3416	4.8278e-002
3416	3.8529e-002
3417	3.1561e-002
3417	2.9092e-002
3418	5.5393e-002
3418	6.0824e-002
3419	5.3177e-002
3419	4.6269e-002
3420	4.9774e-002
3420	5.4622e-002
3421	5.5682e-002
3421	5.5135e-002
3422	5.3758e-002
3422	5.2547e-002
3423	5.2551e-002
3423	4.601e-002
3424	3.8672e-002
3424	3.2782e-002
3425	4.6157e-002
3425	4.2435e-002
3426	3.851e-002
3426	3.9042e-002
3427	4.4153e-002
3427	3.9511e-002
3428	4.332e-002
3428	3.9474e-002
3429	2.1755e-002
3429	2.0505e-002
3430	4.8328e-002
3430	4.8096e-002
3431	4.8488e-002
3431	4.3669e-002
3432	3.3006e-002
3432	3.3922e-002
3433	2.7283e-002
3433	2.7222e-002
3434	5.1193e-002
3434	4.0511e-002
3435	4.2953e-002
3435	4.0376e-002
3436	2.7646e-002
3436	3.7895e-002
3437	4.1162e-002
3437	4.2885e-002
3438	1.932e-002
3438	1.4984e-002
3439	2.5877e-002
3439	4.2493e-002
3440	5.276e-002
3440	5.0849e-002
3441	4.0801e-002
3441	4.3729e-002
3442	3.6377e-002
3442	3.2233e-002
3443	2.0848e-002
3443	2.9061e-002
3444	1.9392e-002
3444	1.96e-002
3445	3.2234e-002
3445	3.1134e-002
3446	3.3291e-002
3446	3.1334e-002
3447	5.3484e-002
3447	3.6145e-002
3448	2.6137e-002
3448	2.9238e-002
3449	2.9751e-002
3449	2.6533e-002
3450	2.9656e-002
3450	2.2394e-002
3451	1.6728e-002
3451	1.5214e-002
3452	5.2336e-002
3452	5.6643e-002
3453	4.4666e-002
3453	3.6678e-002
3454	3.1936e-002
3454	3.0281e-002
3455	4.8802e-002
3455	4.7428e-002
3456	5.235e-002
3456	4.1733e-002
3457	3.42e-002
