Node Number	Equivalent Elastic Strain (m/m)
161	1.0369e-002
162	3.5351e-002
162	2.5779e-002
163	1.2493e-002
163	1.178e-002
164	1.4428e-002
164	8.4512e-003
165	1.7487e-002
165	1.7248e-002
166	3.0543e-002
166	3.5023e-002
167	3.4025e-002
167	4.3855e-002
168	3.6077e-002
168	4.3649e-002
169	1.1749e-002
169	1.0392e-002
170	2.9817e-002
170	2.842e-002
171	1.0138e-002
171	9.8871e-003
172	2.0719e-002
172	1.6124e-002
173	2.5166e-002
173	2.5548e-002
174	1.9592e-002
174	2.4206e-002
175	1.5048e-002
175	2.7492e-002
176	4.4521e-002
176	2.5493e-002
177	1.1017e-002
177	2.8809e-002
178	6.1174e-002
178	2.3659e-002
179	1.8092e-002
179	3.3291e-002
180	1.7973e-002
180	1.6004e-002
181	1.9621e-002
181	4.8568e-002
182	2.4552e-002
182	1.6873e-002
183	2.9353e-002
183	7.7621e-002
184	1.8342e-002
184	3.353e-002
185	4.8063e-002
185	3.5588e-002
186	3.8541e-002
186	4.3885e-002
187	7.3643e-002
187	7.7858e-002
188	4.5446e-002
188	6.4424e-002
189	1.71e-003
189	1.8123e-003
190	1.2659e-003
190	1.3345e-003
191	1.2483e-003
191	1.3151e-003
192	1.9964e-003
192	1.2592e-003
193	5.9548e-003
193	4.868e-003
194	1.3873e-003
194	9.3103e-004
195	9.3768e-003
195	6.6528e-003
196	9.7757e-003
196	6.986e-003
197	1.0708e-002
197	7.9198e-003
198	2.3096e-002
198	2.0475e-002
199	1.1377e-002
199	1.2343e-002
200	1.0934e-002
200	7.4153e-003
201	9.8617e-003
201	6.0829e-003
202	1.4421e-002
202	1.2932e-002
203	7.2354e-003
203	9.0764e-003
204	3.0737e-002
204	4.0138e-002
205	3.1759e-002
205	2.919e-002
206	1.9538e-002
206	2.958e-002
207	2.7425e-002
207	3.3683e-002
208	2.2825e-002
208	2.7154e-002
209	2.3966e-002
209	2.6281e-002
210	2.5767e-002
210	1.3745e-002
211	2.767e-002
211	1.4302e-002
212	2.915e-002
212	1.7288e-002
213	3.3733e-003
213	5.1136e-003
214	3.0663e-003
214	3.4259e-003
215	1.3837e-002
215	9.6945e-003
216	4.4133e-003
216	5.1479e-003
217	5.4521e-004
217	7.8959e-004
218	3.0182e-002
218	3.569e-002
219	3.3723e-002
219	3.559e-002
220	4.1259e-002
220	4.2139e-002
221	2.8312e-002
221	3.695e-002
222	3.9549e-002
222	3.3942e-002
223	3.0421e-002
223	3.7155e-002
224	3.6858e-002
224	3.4316e-002
225	2.3455e-002
225	2.5775e-002
226	3.3721e-002
226	3.0025e-002
227	2.3895e-002
227	1.6403e-002
228	3.1741e-002
228	4.5168e-002
229	2.9943e-002
229	3.1822e-002
230	8.0921e-003
230	1.7785e-002
231	5.4179e-002
231	4.3084e-002
232	1.4579e-002
232	3.1504e-002
233	3.895e-002
233	3.4726e-002
234	3.8602e-002
234	4.5854e-002
235	3.1957e-002
235	4.3541e-002
236	3.2582e-002
236	1.7122e-002
237	4.1543e-002
237	3.398e-002
238	4.9253e-002
238	4.0623e-002
239	4.4385e-002
239	2.7285e-002
240	4.2177e-002
240	3.4516e-002
241	4.1944e-002
241	3.7299e-002
242	5.4181e-002
242	5.0362e-002
243	5.958e-002
243	5.5364e-002
244	3.6016e-002
244	4.1879e-002
245	4.4537e-002
245	4.5211e-002
246	4.4511e-002
246	4.8995e-002
247	2.9654e-002
247	5.2247e-002
248	2.6263e-002
248	3.2522e-002
249	2.8411e-002
249	4.282e-002
250	5.0047e-002
250	3.8764e-002
251	3.4789e-002
251	1.7746e-002
252	5.9547e-002
252	3.0016e-002
253	8.5625e-002
253	4.0007e-002
254	4.5295e-002
254	2.2275e-002
255	4.7887e-002
255	2.3038e-002
256	2.9293e-002
256	3.0334e-002
257	4.1365e-002
257	4.3279e-002
258	5.4381e-002
258	3.3849e-002
259	4.2179e-002
259	3.8332e-002
260	4.4864e-002
260	5.2477e-002
261	3.6053e-002
261	4.4481e-002
262	4.3576e-002
262	5.6858e-002
263	4.2363e-002
263	5.7576e-002
264	4.2999e-002
264	4.7712e-002
265	3.7266e-002
265	4.7078e-002
266	7.4744e-002
266	4.0809e-002
267	3.4659e-002
267	2.1479e-002
268	6.6182e-002
268	4.5873e-002
269	4.8971e-002
269	3.7767e-002
270	4.9377e-002
270	4.4878e-002
271	4.6917e-002
271	4.7769e-002
272	3.9899e-002
272	3.9395e-002
273	3.6698e-002
273	4.6212e-002
274	2.2537e-002
274	2.5576e-002
275	3.0706e-002
275	3.3515e-002
276	4.2787e-002
276	4.3017e-002
277	4.4003e-002
277	3.9247e-002
278	4.3881e-002
278	7.4375e-002
279	5.1114e-002
279	4.708e-002
280	3.9183e-002
280	3.6368e-002
281	3.012e-002
281	2.5923e-002
282	4.202e-002
282	2.9013e-002
283	4.6895e-002
283	4.452e-002
284	4.5388e-002
284	4.8717e-002
285	3.0302e-002
285	3.9191e-002
286	4.6757e-002
286	4.401e-002
287	3.997e-002
287	4.0846e-002
288	6.9008e-002
288	5.1301e-002
289	6.4979e-003
289	5.5712e-003
290	9.168e-003
290	5.4664e-003
291	8.3602e-003
291	6.2169e-003
292	3.44e-002
292	2.6274e-002
293	2.8595e-002
293	2.7288e-002
294	7.938e-003
294	9.5144e-003
295	3.1178e-002
295	3.1205e-002
296	9.6561e-003
296	1.0148e-002
297	1.9032e-002
297	1.107e-002
298	1.5279e-002
298	1.66e-002
299	3.161e-002
299	3.5417e-002
300	3.4703e-002
300	4.5857e-002
301	3.6789e-002
301	4.5998e-002
302	2.2391e-002
302	1.1307e-002
303	3.112e-002
303	2.5434e-002
304	1.9879e-002
304	1.8805e-002
305	2.5074e-002
305	8.997e-003
306	3.4936e-002
306	3.0046e-002
307	2.4895e-002
307	9.6188e-003
308	2.3883e-002
308	2.5544e-002
309	1.2478e-002
309	1.432e-002
310	2.0007e-002
310	2.4412e-002
311	2.2347e-002
311	2.4888e-002
312	2.1713e-002
312	2.8778e-002
313	1.4064e-002
313	2.0234e-002
314	2.4083e-002
314	2.5746e-002
315	3.1617e-002
315	2.4075e-002
316	1.2211e-002
316	8.6062e-003
317	2.1425e-002
317	1.272e-002
318	3.7421e-002
318	2.6211e-002
319	4.8691e-002
319	4.4381e-002
320	8.5639e-004
320	1.5062e-003
321	1.603e-003
321	1.5234e-003
322	1.713e-003
322	2.5279e-003
323	9.1658e-004
323	1.0237e-003
324	1.0917e-003
324	1.129e-003
325	2.5752e-003
325	3.8256e-003
326	2.273e-003
326	1.9977e-003
327	3.1242e-003
327	4.1242e-003
328	1.2725e-002
328	1.3536e-002
329	8.7722e-003
329	6.7409e-003
330	1.976e-002
330	2.0716e-002
331	2.132e-002
331	1.8454e-002
332	2.2243e-002
332	2.3781e-002
333	1.8271e-002
333	1.1068e-002
334	1.4191e-002
334	1.2655e-002
335	1.0557e-002
335	8.3108e-003
336	1.6126e-002
336	1.4601e-002
337	2.6738e-002
337	2.3981e-002
338	4.1843e-002
338	2.7506e-002
339	2.1915e-002
339	1.7216e-002
340	1.2792e-002
340	1.081e-002
341	1.113e-002
341	1.5674e-002
342	1.288e-002
342	1.4393e-002
343	1.2403e-002
343	9.1336e-003
344	1.3179e-002
344	2.234e-002
345	1.0293e-002
345	1.4196e-002
346	1.3884e-002
346	1.3019e-002
347	3.81e-003
347	3.6335e-003
348	4.4253e-003
348	6.9025e-003
349	6.07e-003
349	4.0062e-003
350	7.7855e-004
350	6.8816e-004
351	1.2681e-002
351	2.3212e-002
352	1.569e-002
352	2.1491e-002
353	2.8227e-002
353	3.1631e-002
354	1.5294e-002
354	1.5982e-002
355	1.1735e-002
355	1.8556e-002
356	3.4264e-002
356	3.3232e-002
357	3.0213e-002
357	4.3091e-002
358	2.1162e-002
358	3.2695e-002
359	2.9468e-002
359	2.5657e-002
360	3.3865e-002
360	2.753e-002
361	3.2572e-002
361	4.2702e-002
362	2.8405e-002
362	2.8795e-002
363	3.7718e-002
363	5.1408e-002
364	1.5105e-002
364	2.0917e-002
365	3.5217e-002
365	2.62e-002
366	2.7469e-002
366	1.4981e-002
367	4.4149e-002
367	2.1713e-002
368	2.017e-002
368	3.2269e-002
369	2.9749e-002
369	3.8149e-002
370	2.6312e-002
370	4.2441e-002
371	2.1449e-002
371	1.9681e-002
372	2.1463e-002
372	2.4301e-002
373	2.4977e-002
373	3.9975e-002
374	1.6294e-002
374	4.6327e-002
375	1.5127e-002
375	3.6216e-002
376	2.42e-002
376	3.179e-002
377	1.8067e-002
377	4.4992e-002
378	3.1457e-002
378	3.0951e-002
379	3.9659e-002
379	5.4653e-002
380	5.9988e-002
380	4.4131e-002
381	3.7961e-002
381	3.2557e-002
382	2.6663e-002
382	4.8132e-002
383	4.4696e-002
383	4.3366e-002
384	6.2725e-002
384	5.6281e-002
385	4.0007e-002
385	7.1094e-002
386	6.7006e-002
386	4.1018e-002
387	5.5181e-002
387	4.9177e-002
388	4.7949e-002
388	4.5282e-002
389	2.7021e-002
389	3.479e-002
390	6.5323e-002
390	4.785e-002
391	4.4773e-002
391	3.5901e-002
392	5.1415e-002
392	6.3742e-002
393	1.9783e-002
393	3.826e-002
394	4.4554e-002
394	7.4681e-002
395	1.8644e-002
395	3.4172e-002
396	2.3577e-002
396	3.3528e-002
397	3.3837e-002
397	3.7138e-002
398	4.468e-002
398	4.9703e-002
399	8.2746e-002
399	5.4593e-002
400	5.6629e-002
400	4.9098e-002
401	1.5403e-002
401	3.6608e-002
402	2.7635e-002
402	4.38e-002
403	3.4401e-002
403	4.4952e-002
404	4.1337e-002
404	5.6774e-002
405	4.4075e-002
405	5.6515e-002
406	2.528e-002
406	2.9612e-002
407	3.5271e-002
407	3.8378e-002
408	2.5729e-002
408	5.7264e-002
409	4.4671e-002
409	5.8015e-002
410	1.1864e-002
410	2.0614e-002
411	3.5313e-002
411	3.463e-002
412	2.8351e-002
412	3.4797e-002
413	5.061e-002
413	4.7004e-002
414	1.3558e-002
414	2.5026e-002
415	2.3826e-002
415	3.4029e-002
416	1.1825e-002
416	1.3352e-002
417	1.9273e-002
417	2.7832e-002
418	3.7399e-002
418	3.783e-002
419	7.0292e-002
419	5.0649e-002
420	4.1659e-002
420	3.8087e-002
421	1.3954e-002
421	1.0633e-002
422	1.8084e-002
422	1.827e-002
423	2.0963e-002
423	2.1504e-002
424	2.102e-002
424	1.5591e-002
425	1.8628e-002
425	1.2313e-002
426	2.4021e-002
426	2.6863e-002
427	4.4197e-002
427	2.5339e-002
428	3.0087e-002
428	3.1742e-002
429	3.39e-002
429	2.9953e-002
430	2.0447e-002
430	2.0188e-002
431	1.3641e-002
431	2.2978e-002
432	9.7468e-003
432	1.4378e-002
433	1.4286e-002
433	2.3142e-002
434	2.0219e-002
434	2.56e-002
435	2.1541e-002
435	1.2201e-002
436	2.0475e-002
436	2.2601e-002
437	3.0594e-002
437	2.7719e-002
438	3.3546e-002
438	2.6497e-002
439	4.356e-002
439	3.149e-002
440	8.8253e-003
440	1.3649e-002
441	7.8272e-003
441	1.0118e-002
442	8.7806e-003
442	1.373e-002
443	1.0664e-003
443	1.0156e-003
444	1.0065e-003
444	9.1587e-004
445	7.5557e-004
445	6.8048e-004
446	1.0296e-003
446	1.6086e-003
447	2.9098e-003
447	2.9967e-003
448	7.6516e-004
448	1.0307e-003
449	2.8224e-003
449	4.9614e-003
450	5.1041e-003
450	4.3756e-003
451	1.3092e-002
451	2.2697e-002
452	2.413e-002
452	2.7073e-002
453	1.4645e-002
453	1.5884e-002
454	9.6653e-003
454	1.067e-002
455	1.4664e-002
455	1.2685e-002
456	1.2314e-002
456	1.2588e-002
457	9.1932e-003
457	1.0568e-002
458	2.5675e-002
458	2.166e-002
459	1.0061e-002
459	1.2719e-002
460	1.1887e-002
460	1.1055e-002
461	2.1359e-002
461	2.0745e-002
462	2.0417e-002
462	1.8371e-002
463	2.2822e-002
463	1.5861e-002
464	2.0261e-002
464	2.0511e-002
465	3.9197e-002
465	3.1024e-002
466	1.5239e-002
466	2.1618e-002
467	1.9987e-002
467	1.9817e-002
468	1.3872e-002
468	2.2495e-002
469	1.7541e-002
469	1.7706e-002
470	8.7309e-003
470	8.9728e-003
471	6.4379e-003
471	7.5969e-003
472	2.9618e-002
472	2.6911e-002
473	8.7149e-003
473	6.4864e-003
474	1.0448e-002
474	7.8552e-003
475	1.1233e-002
475	1.0104e-002
476	3.7422e-003
476	4.9125e-003
477	9.0603e-003
477	6.4376e-003
478	4.7232e-003
478	4.2663e-003
479	4.4071e-003
479	7.5192e-003
480	4.0487e-004
480	7.4522e-004
481	5.4956e-002
481	3.3766e-002
482	3.4919e-002
482	2.6979e-002
483	4.0685e-002
483	2.3488e-002
484	2.0593e-002
484	2.361e-002
485	2.5736e-002
485	2.5575e-002
486	1.8327e-002
486	2.6564e-002
487	3.4782e-002
487	3.0549e-002
488	1.0289e-002
488	1.8324e-002
489	1.399e-002
489	2.1143e-002
490	1.8933e-002
490	2.3254e-002
491	3.5986e-002
491	3.2518e-002
492	3.0107e-002
492	2.9925e-002
493	1.9326e-002
493	2.153e-002
494	1.745e-002
494	2.3319e-002
495	2.8101e-002
495	2.7204e-002
496	3.9681e-002
496	4.7035e-002
497	2.6104e-002
497	3.9814e-002
498	2.6702e-002
498	5.1686e-002
499	2.6504e-002
499	3.3202e-002
500	3.2225e-002
500	3.7602e-002
501	4.5016e-002
501	3.6562e-002
502	3.8606e-002
502	3.9749e-002
503	2.2674e-002
503	3.1216e-002
504	3.1817e-002
504	4.0933e-002
505	9.1594e-003
505	1.1302e-002
506	3.0728e-002
506	2.961e-002
507	4.3887e-002
507	3.8145e-002
508	3.7171e-002
508	3.4349e-002
509	4.7097e-002
509	4.6399e-002
510	1.2547e-002
510	8.1271e-003
511	5.8363e-002
511	4.3604e-002
512	4.6767e-002
512	3.0844e-002
513	8.925e-002
513	4.5299e-002
514	8.4016e-002
514	5.0034e-002
515	3.66e-002
515	5.6074e-002
516	5.5115e-002
516	5.0889e-002
517	7.2014e-002
517	4.8542e-002
518	5.1624e-002
518	3.5233e-002
519	5.3642e-002
519	5.2361e-002
520	4.6193e-002
520	4.7588e-002
521	4.3785e-002
521	4.8024e-002
522	4.8791e-002
522	5.8155e-002
523	3.1772e-002
523	3.9678e-002
524	1.3667e-002
524	2.6953e-002
525	2.668e-002
525	3.2777e-002
526	3.7772e-002
526	5.3432e-002
527	3.6129e-002
527	5.0057e-002
528	3.3782e-002
528	4.2786e-002
529	2.5006e-002
529	4.6335e-002
530	2.9274e-002
530	5.7984e-002
531	4.8355e-002
531	5.1497e-002
532	5.5005e-002
532	5.2817e-002
533	3.3072e-002
533	2.4578e-002
534	5.3761e-002
534	3.2629e-002
535	4.4518e-002
535	3.8194e-002
536	6.9593e-002
536	4.9409e-002
537	4.6726e-002
537	3.6996e-002
538	4.1084e-002
538	3.048e-002
539	5.1645e-002
539	3.1298e-002
540	9.6774e-003
540	8.473e-003
541	1.2814e-002
541	1.3371e-002
542	2.2548e-002
542	2.4747e-002
543	1.5576e-002
543	1.6004e-002
544	1.1884e-002
544	1.3832e-002
545	2.1388e-002
545	2.9561e-002
546	4.331e-002
546	4.6215e-002
547	2.4272e-002
547	2.7063e-002
548	3.3632e-002
548	4.4128e-002
549	1.9658e-002
549	1.7197e-002
550	2.3572e-002
550	2.5376e-002
551	7.3482e-003
551	1.8234e-002
552	1.9266e-002
552	2.4831e-002
553	3.998e-002
553	3.6608e-002
554	5.8248e-002
554	3.779e-002
555	4.3682e-002
555	3.9626e-002
556	1.319e-002
556	2.677e-002
557	9.8583e-003
557	1.5981e-002
558	1.4735e-002
558	1.7229e-002
559	2.8499e-002
559	2.8175e-002
560	2.2319e-002
560	1.4244e-002
561	3.4412e-002
561	2.94e-002
562	2.2739e-002
562	2.351e-002
563	8.1915e-003
563	1.2071e-002
564	1.963e-002
564	2.3513e-002
565	2.1215e-002
565	2.4782e-002
566	5.0249e-002
566	3.5592e-002
567	1.9383e-002
567	1.4351e-002
568	3.8491e-002
568	3.8904e-002
569	5.525e-002
569	3.8975e-002
570	3.0784e-002
570	1.8824e-002
571	9.1796e-004
571	1.6901e-003
572	2.3394e-003
572	2.7308e-003
573	2.428e-003
573	2.6338e-003
574	4.9284e-004
574	7.1479e-004
575	6.5291e-004
575	9.505e-004
576	7.5539e-004
576	2.1797e-003
577	1.2969e-003
577	3.2414e-003
578	5.4953e-003
578	7.9637e-003
579	9.2208e-004
579	3.7363e-003
580	9.3741e-003
580	1.4997e-002
581	2.721e-002
581	3.095e-002
582	2.7109e-002
582	3.6249e-002
583	1.9385e-002
583	2.4848e-002
584	1.3666e-002
584	1.4985e-002
585	1.3434e-002
585	1.1641e-002
586	1.694e-002
586	1.0222e-002
587	1.347e-002
587	7.0525e-003
588	1.4973e-002
588	1.1389e-002
589	1.1651e-002
589	1.1817e-002
590	1.8084e-002
590	1.3726e-002
591	8.3685e-003
591	6.9674e-003
592	2.0697e-002
592	1.8261e-002
593	7.9386e-003
593	8.6184e-003
594	5.6549e-003
594	5.8038e-003
595	9.3919e-003
595	6.9142e-003
596	8.5393e-003
596	5.8021e-003
597	6.6684e-003
597	3.1081e-003
598	2.6876e-002
598	2.0044e-002
599	5.2606e-003
599	5.4037e-003
600	9.2154e-003
600	8.1707e-003
601	9.9021e-003
601	1.8171e-002
602	2.4176e-002
602	2.0681e-002
603	1.2655e-002
603	1.8884e-002
604	1.1224e-002
604	1.371e-002
605	5.3929e-003
605	8.6362e-003
606	2.3077e-002
606	2.0447e-002
607	5.4737e-003
607	6.5024e-003
608	9.3085e-003
608	6.2644e-003
609	1.0821e-002
609	8.2666e-003
610	4.632e-004
610	6.3158e-004
611	3.684e-002
611	4.8222e-002
612	6.0562e-002
612	6.6354e-002
613	1.8291e-002
613	2.6707e-002
614	5.2272e-002
614	4.5696e-002
615	3.0537e-002
615	2.581e-002
616	4.3907e-002
616	2.8838e-002
617	4.2665e-002
617	2.5724e-002
618	2.5283e-002
618	2.0363e-002
619	1.8086e-002
619	1.9015e-002
620	3.2557e-002
620	4.16e-002
621	2.5657e-002
621	3.6826e-002
622	2.7445e-002
622	4.2484e-002
623	3.3639e-002
623	4.1022e-002
624	2.2715e-002
624	1.6077e-002
625	9.2215e-003
625	8.3247e-003
626	3.9516e-002
626	3.558e-002
627	4.6111e-002
627	3.5857e-002
628	4.9112e-002
628	3.6772e-002
629	2.6283e-002
629	3.066e-002
630	4.2622e-002
630	3.8734e-002
631	8.6107e-003
631	9.98e-003
632	2.7008e-002
632	3.5323e-002
633	4.2535e-002
633	4.7784e-002
634	2.6932e-002
634	4.557e-002
635	5.0932e-002
635	4.1738e-002
636	1.9236e-002
636	1.1012e-002
637	1.9676e-002
637	9.1837e-003
638	5.006e-002
638	4.7156e-002
639	3.9587e-002
639	3.5941e-002
640	2.2398e-002
640	2.6695e-002
641	8.5684e-003
641	1.2529e-002
642	3.8882e-002
642	8.1279e-002
643	3.718e-002
643	5.3833e-002
644	5.235e-002
644	5.3708e-002
645	3.503e-002
645	6.5707e-002
646	6.917e-002
646	4.9862e-002
647	6.0076e-002
647	3.1714e-002
648	4.189e-002
648	3.5867e-002
649	4.8569e-002
649	3.7221e-002
650	4.3146e-002
650	2.9036e-002
651	4.902e-002
651	4.6996e-002
652	4.3755e-002
652	5.0329e-002
653	5.5236e-002
653	3.9837e-002
654	4.7958e-002
654	6.7635e-002
655	6.4909e-002
655	6.4761e-002
656	3.4233e-002
656	1.9098e-002
657	5.2433e-002
657	3.2486e-002
658	2.3374e-002
658	1.0581e-002
659	5.9516e-002
659	5.6686e-002
660	2.476e-002
660	4.8425e-002
661	2.8691e-002
661	4.0732e-002
662	3.5081e-002
662	4.7967e-002
663	5.2598e-002
663	4.634e-002
664	5.3851e-002
664	4.2592e-002
665	0.
665	0.
666	3.944e-002
666	1.1926e-002
667	1.4701e-002
667	5.6457e-003
668	6.7308e-002
668	5.012e-002
669	8.946e-003
669	2.3502e-002
670	6.0788e-003
670	2.0443e-002
671	2.3375e-002
671	5.8578e-002
672	0.
672	0.
673	0.
673	0.
674	0.
674	0.
675	0.
675	0.
676	0.
676	0.
677	0.
677	0.
678	3.0461e-002
678	1.7891e-002
679	1.906e-002
679	1.5109e-002
680	2.5786e-002
680	1.6419e-002
681	3.0228e-002
681	4.7304e-002
682	1.7435e-002
682	1.4251e-002
683	2.9285e-002
683	3.5742e-002
684	0.
684	0.
685	0.
685	0.
686	0.
686	0.
687	0.
687	0.
688	0.
688	0.
689	0.
689	0.
690	0.
