Node Number	Equivalent (von-Mises) Stress (Pa)
163	6.2096e+005
164	1.1775e+006
164	8.0933e+005
165	1.6648e+006
165	1.6244e+006
166	3.0451e+006
166	3.4398e+006
167	3.2981e+006
167	4.4486e+006
168	3.6594e+006
168	4.4231e+006
169	1.1079e+006
169	1.0133e+006
170	2.3401e+006
170	1.3266e+006
171	9.8066e+005
171	7.9837e+005
172	2.0437e+006
172	1.3464e+006
173	1.7292e+006
173	2.5403e+006
174	1.2278e+006
174	1.4461e+006
175	1.3736e+006
175	2.7683e+006
176	4.4986e+006
176	2.5286e+006
177	9.5146e+005
177	2.8943e+006
178	5.5045e+006
178	1.7641e+006
179	1.2863e+006
179	2.5711e+006
180	1.7479e+006
180	1.5362e+006
181	1.8243e+006
181	4.8956e+006
182	1.9858e+006
182	9.1681e+005
183	1.1969e+006
183	7.0639e+006
184	1.3901e+006
184	2.1064e+006
185	4.0213e+006
185	3.3223e+006
186	3.3434e+006
186	3.6503e+006
187	5.7498e+006
187	6.3672e+006
188	4.1981e+006
188	6.3398e+006
189	1.6012e+005
189	1.6917e+005
190	1.1914e+005
190	1.2502e+005
191	1.2786e+005
191	1.347e+005
192	1.0038e+005
192	1.0443e+005
193	4.5897e+005
193	3.9021e+005
194	38327
194	77093
195	6.7211e+005
195	4.4048e+005
196	6.7465e+005
196	5.5484e+005
197	8.6057e+005
197	7.5958e+005
198	9.8104e+005
198	9.8139e+005
199	1.0625e+006
199	1.1552e+006
200	6.5708e+005
200	5.7492e+005
201	9.1071e+005
201	3.8721e+005
202	1.1789e+006
202	9.28e+005
203	6.891e+005
203	8.51e+005
204	1.9706e+006
204	1.8024e+006
205	2.3668e+006
205	2.0573e+006
206	1.0584e+006
206	1.8272e+006
207	2.6007e+006
207	3.2276e+006
208	2.0952e+006
208	2.7321e+006
209	6.4695e+005
209	1.53e+006
210	2.4092e+006
210	8.3505e+005
211	2.1078e+006
211	8.7483e+005
212	2.3133e+006
212	7.314e+005
213	2.656e+005
213	4.5094e+005
214	2.9642e+005
214	3.2278e+005
215	8.1271e+005
215	8.3217e+005
216	4.2782e+005
216	5.0174e+005
217	55845
217	80877
218	2.5843e+006
218	2.5898e+006
219	2.2927e+006
219	2.8862e+006
220	3.8667e+006
220	3.5317e+006
221	2.0654e+006
221	3.7006e+006
222	3.9539e+006
222	3.3976e+006
223	2.5352e+006
223	2.5293e+006
224	3.0853e+006
224	2.9597e+006
225	1.913e+006
225	2.3537e+006
226	3.3361e+006
226	2.6577e+006
227	2.3369e+006
227	1.4736e+006
228	2.426e+006
228	3.7921e+006
229	2.8192e+006
229	2.9572e+006
230	5.7964e+005
230	1.3088e+006
231	3.6262e+006
231	3.269e+006
232	1.3064e+006
232	2.7313e+006
233	3.7447e+006
233	1.2629e+006
234	3.1096e+006
234	3.6198e+006
235	3.1421e+006
235	4.4152e+006
236	1.9182e+006
236	8.6635e+005
237	3.5956e+006
237	2.8527e+006
238	5.0089e+006
238	4.1225e+006
239	4.2103e+006
239	2.2662e+006
240	3.0953e+006
240	2.6277e+006
241	4.0178e+006
241	3.7742e+006
242	3.2364e+006
242	2.8673e+006
243	4.8948e+006
243	4.0202e+006
244	2.9565e+006
244	2.8368e+006
245	3.6051e+006
245	4.443e+006
246	3.8984e+006
246	4.9211e+006
247	2.5785e+006
247	5.2143e+006
248	1.1735e+006
248	2.4664e+006
249	2.5908e+006
249	3.4318e+006
250	3.9763e+006
250	3.4367e+006
251	2.2573e+006
251	8.5862e+005
252	4.4237e+006
252	2.2848e+006
253	8.7144e+006
253	4.0617e+006
254	4.4589e+006
254	1.5182e+006
255	4.1348e+006
255	2.1496e+006
256	1.4894e+006
256	1.7241e+006
257	3.2679e+006
257	3.7361e+006
258	5.5267e+006
258	3.4401e+006
259	3.7695e+006
259	3.0382e+006
260	3.2372e+006
260	4.4176e+006
261	3.6876e+006
261	4.5468e+006
262	4.4608e+006
262	5.8141e+006
263	3.4767e+006
263	4.7135e+006
264	3.5648e+006
264	4.2137e+006
265	3.6305e+006
265	4.726e+006
266	6.8326e+006
266	4.1027e+006
267	3.4053e+006
267	2.0338e+006
268	5.7838e+006
268	3.9675e+006
269	4.0868e+006
269	2.1951e+006
270	5.0151e+006
270	4.4986e+006
271	4.8003e+006
271	4.8796e+006
272	3.3581e+006
272	3.352e+006
273	3.6122e+006
273	3.9626e+006
274	1.3232e+006
274	1.7574e+006
275	2.6591e+006
275	2.6268e+006
276	4.1342e+006
276	4.3295e+006
277	3.0792e+006
277	3.3004e+006
278	4.3334e+006
278	7.5997e+006
279	4.4648e+006
279	4.3596e+006
280	3.5145e+006
280	3.1393e+006
281	3.0249e+006
281	2.5152e+006
282	4.3014e+006
282	2.9244e+006
283	4.7109e+006
283	4.2319e+006
284	4.4298e+006
284	4.4051e+006
285	2.9308e+006
285	3.9312e+006
286	4.7707e+006
286	4.4959e+006
287	3.4432e+006
287	3.5543e+006
288	6.3902e+006
288	4.8947e+006
289	6.586e+005
289	5.2181e+005
290	8.604e+005
290	2.8166e+005
291	6.8432e+005
291	2.578e+005
292	3.1273e+006
292	2.3082e+006
293	2.8787e+006
293	2.7489e+006
294	3.8578e+005
294	8.9953e+005
295	2.2428e+006
295	2.29e+006
296	8.2587e+005
296	9.1537e+005
